TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,4,0,0.0,4.0,12
1,4,0,0.0,4.0,5
2,3,0,0.0,3.0,4
3,2,0,0.0,2.0,2
4,4,0,0.0,4.0,5
5,3,0,0.0,3.0,1
6,5,0,0.0,5.0,7
7,8,0,0.0,8.0,4
8,6,0,0.0,6.0,4
9,5,0,0.0,5.0,1
10,11,0,0.0,11.0,3
11,5,0,0.0,5.0,1
12,4,0,0.0,4.0,1
13,3,0,0.0,3.0,1
14,8,0,0.0,8.0,2
15,12,0,0.0,12.0,7
16,2,0,0.0,2.0,1
17,0,0,0.0,0.0,1
18,5,0,0.0,5.0,1
19,5,0,0.0,5.0,2
20,3,0,0.0,3.0,0
21,5,0,0.0,5.0,1
22,3,0,0.0,3.0,0
23,6,0,0.0,6.0,3
24,7,0,0.0,7.0,3
25,0,0,0.0,0.0,0
26,6,0,0.0,6.0,0
27,7,0,0.0,7.0,2
28,5,0,0.0,5.0,0
29,4,0,0.0,4.0,1
30,6,0,0.0,6.0,1
31,3,0,0.0,3.0,1
32,1,0,0.0,1.0,0
33,2,0,0.0,2.0,1
34,15,0,0.0,15.0,4
35,5,0,0.0,5.0,0
36,0,0,0.0,0.0,1
37,3,0,0.0,3.0,0
38,7,0,0.0,7.0,1
39,3,0,0.0,3.0,1
40,3,0,0.0,3.0,1
41,9,0,0.0,9.0,1
42,3,1,0.0,4.0,2
43,1,1,0.0,2.0,1
44,5,1,0.0,6.0,1
45,7,0,0.0,7.0,0
46,7,0,0.0,7.0,1
47,4,0,0.0,4.0,0
48,5,0,0.0,5.0,1
49,2,1,0.0,3.0,1
50,1,0,0.0,1.0,0
51,8,0,0.0,8.0,1
52,2,0,0.0,2.0,0
53,0,0,0.0,0.0,1
54,8,0,0.0,8.0,1
55,6,0,0.0,6.0,0
56,6,0,0.0,6.0,2
57,5,0,0.0,5.0,0
58,8,0,0.0,8.0,6
59,3,0,0.0,3.0,0
60,2,0,0.0,2.0,0
61,8,0,0.0,8.0,2
62,2,0,0.0,2.0,0
63,8,0,0.0,8.0,1
64,4,0,0.0,4.0,0
65,10,0,0.0,10.0,1
66,2,0,0.0,2.0,0
67,10,0,0.0,10.0,4
68,7,0,0.0,7.0,2
69,4,0,0.0,4.0,1
70,3,0,0.0,3.0,0
71,5,0,0.0,5.0,1
72,4,0,0.0,4.0,0
73,3,0,0.0,3.0,0
74,7,0,0.0,7.0,2
75,0,0,0.0,0.0,0
76,20,0,0.0,20.0,20
77,3,0,0.0,3.0,0
78,3,0,0.0,3.0,1
79,4,0,0.0,4.0,0
80,13,0,0.0,13.0,3
81,3,1,0.0,4.0,1
82,5,0,0.0,5.0,1
83,4,0,0.0,4.0,1
84,5,0,0.0,5.0,0
85,1,0,0.0,1.0,0
86,5,0,0.0,5.0,1
87,4,0,0.0,4.0,1
88,2,0,0.0,2.0,0
89,2,0,0.0,2.0,0
90,4,0,0.0,4.0,1
91,8,0,0.0,8.0,1
92,2,0,0.0,2.0,1
93,1,0,0.0,1.0,0
94,13,0,0.0,13.0,1
95,7,0,0.0,7.0,1
96,3,0,0.0,3.0,0
97,0,0,0.0,0.0,1
98,8,0,0.0,8.0,1
99,6,0,0.0,6.0,1
100,6,0,0.0,6.0,0
